Census Tract,Community Reporting Area,Geometry,Latitude (generated),Longitude (generated),% Burdened,Households Burdened,Total Households
1,Cedar Park/Meadowbrook,Polygon,47.726193138,-122.282362096,55%,1465,2680
2,Olympic Hills/Victory Heights,Polygon,47.726842621,-122.309934524,59%,940,1585
3,Haller Lake,Polygon,47.731807179,-122.333648697,40%,195,485
4.01,Broadview/Bitter Lake,Polygon,47.729133669,-122.351782046,63%,1750,2775
4.02,Broadview/Bitter Lake,Polygon,47.716491060,-122.352914009,57%,810,1425
5,Broadview/Bitter Lake,Polygon,47.722468546,-122.373794739,40%,30,75
6,Haller Lake,Polygon,47.716227025,-122.329437236,41%,690,1665
7,Olympic Hills/Victory Heights,Polygon,47.715341056,-122.301021139,46%,500,1085
8,Cedar Park/Meadowbrook,Polygon,47.712492315,-122.286123807,54%,175,325
9,Cedar Park/Meadowbrook,Polygon,47.707158461,-122.275404291,39%,55,140
10,Cedar Park/Meadowbrook,Polygon,47.705960184,-122.296877211,39%,104,270
11,Olympic Hills/Victory Heights,Polygon,47.706397439,-122.305917921,55%,165,300
12,Northgate/Maple Leaf,Polygon,47.707147063,-122.324569588,48%,1365,2845
13,Licton Springs,Polygon,47.702309524,-122.340136334,49%,575,1175
14,North Beach/Blue Ridge,Polygon,47.709402334,-122.372299819,47%,390,830
15,North Beach/Blue Ridge,Polygon,47.698531540,-122.395481045,18%,50,275
16,North Beach/Blue Ridge,Polygon,47.703847231,-122.384669007,44%,155,350
17.01,Greenwood/Phinney Ridge,Polygon,47.696842312,-122.354314883,28%,300,1075
17.02,Greenwood/Phinney Ridge,Polygon,47.697025527,-122.363106978,53%,500,950
18,Licton Springs,Polygon,47.694024229,-122.340626311,25%,295,1160
19,Northgate/Maple Leaf,Polygon,47.695746065,-122.328610633,46%,430,940
20,Northgate/Maple Leaf,Polygon,47.695068667,-122.310886136,55%,355,650
21,Wedgwood/View Ridge,Polygon,47.695324048,-122.298562234,37%,235,630
22,Wedgwood/View Ridge,MultiPolygon,47.693049334,-122.273071430,44%,160,365
24,Wedgwood/View Ridge,Polygon,47.687338382,-122.286352186,37%,145,390
25,Ravenna/Bryant,Polygon,47.683171415,-122.302226181,42%,165,395
26,Ravenna/Bryant,Polygon,47.682922373,-122.312707443,52%,310,600
27,Green Lake,Polygon,47.686328014,-122.332140855,24%,190,790
28,Greenwood/Phinney Ridge,Polygon,47.683753670,-122.348888263,29%,270,945
29,Greenwood/Phinney Ridge,Polygon,47.684404433,-122.361444262,39%,263,675
30,Whittier Heights,Polygon,47.684277962,-122.372130195,32%,240,750
31,Sunset Hill/Loyal Heights,Polygon,47.689494426,-122.401230151,39%,230,590
